YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1948,3.34,3.83,6.05,7.47,11.60,16.50,16.87,16.21,13.95,10.22,5.58,2.21,3.44,8.37,16.53,9.92,9.56
1949,-1.14,2.95,7.52,10.04,14.04,15.02,16.99,17.61,15.98,9.20,9.66,3.53,1.34,10.53,16.54,11.61,10.01
1950,-3.95,4.44,5.58,7.96,10.90,15.63,17.58,17.64,14.33,9.54,6.43,7.09,1.34,8.15,16.95,10.10,9.13
1951,2.73,4.78,4.08,9.74,12.32,16.16,17.97,16.45,15.02,10.44,6.97,2.46,4.87,8.71,16.86,10.81,10.31
1952,2.45,4.80,5.72,9.14,12.22,13.60,17.45,17.22,15.10,12.36,5.02,5.34,3.24,9.03,16.09,10.83,9.79
1953,6.83,4.53,6.07,8.21,11.43,13.03,16.58,17.07,15.35,11.75,8.14,5.70,5.57,8.57,15.56,11.75,10.36
1954,2.25,5.66,4.82,7.52,12.15,13.49,15.60,15.88,14.82,10.31,9.41,4.84,4.54,8.16,14.99,11.51,9.80
1955,3.96,3.44,3.95,6.97,10.36,14.41,15.58,16.07,13.88,10.20,3.81,3.53,4.08,7.09,15.35,9.30,8.96
1956,3.87,2.02,4.89,9.77,13.77,13.82,18.11,17.18,14.38,9.69,5.90,4.56,3.14,9.48,16.37,9.99,9.74
1957,0.32,4.16,6.88,10.06,14.40,15.74,16.55,16.45,17.05,10.38,6.37,6.46,3.01,10.45,16.25,11.27,10.24
1958,6.44,8.61,6.67,9.55,15.78,17.73,20.43,19.18,15.43,12.14,6.36,7.14,7.17,10.67,19.11,11.31,12.06
1959,4.87,4.98,6.75,9.76,11.91,15.30,18.91,16.82,14.12,11.10,6.61,4.58,5.66,9.47,17.01,10.61,10.69
1960,3.81,5.09,6.38,9.57,11.49,15.29,19.29,16.76,14.44,11.47,6.95,4.14,4.49,9.15,17.11,10.95,10.43
1961,6.45,6.89,7.34,8.35,12.10,17.46,19.46,20.19,14.84,10.47,5.48,4.07,5.83,9.26,19.04,10.26,11.10
1962,3.53,6.13,6.27,9.96,10.34,15.47,17.51,16.68,15.32,11.41,8.02,5.68,4.58,8.86,16.55,11.58,10.39
